gesture_id,response
0,Hello, how can I assist you today?
1,Please hold on for a moment.
2,Thank you for your patience.
3,I am here to help you.
4,Could you please clarify that?
5,Let's discuss further details.
6,How can I support you with this task?
7,I appreciate your feedback.
8,What are your thoughts on this?
9,Do you need any assistance?
10,I hope you have a great day!
Looking left,Please check the information on your left.
Looking right,Please check the information on your right.
Looking up,Please look at the top section.
Looking down,Please look at the bottom section.
Looking straight,Is everything clear so far?
